score,category,keyword,volume,kd,cpc,variants
361.4,catholic,when does lent stop,60500,4,28.17,1
361.4,catholic,when does lent end,60500,4,28.17,2
361.4,catholic,when did lent end,60500,4,28.17,1
280.4,catholic,when lent,49500,13,15.68,5
273.8,how-to-block,how to block someone on tiktok,90500,1,0.78,1
260.6,how-to-block,how to block someone on tik tok,90500,4,0.78,1
255.7,prayers,prayer time for muslims,450000,13,7.31,2
251.0,other,verses from bible about strength,90500,3,1.82,3
251.0,other,verses of the bible for strength,90500,3,1.82,2
251.0,other,verses from the bible for strength,90500,3,1.82,1
251.0,bible-verses,bible verses on strength,90500,3,1.82,3
248.2,verse-display,wallpaper christian,49500,3,0.44,11
247.7,bible-verses,verses about love from the bible,165000,5,2.35,1
247.7,other,verses from bible about love,165000,5,2.35,3
247.7,bible-verses,bible verses about loving,165000,5,2.35,1
247.7,bible-verses,bible verses on loving,165000,5,2.35,1
247.7,bible-verses,verses on love from the bible,165000,5,2.35,1
247.7,other,verses from the bible on love,165000,5,2.35,1
247.7,other,verses in the bible on love,165000,5,2.35,1
247.4,how-to-block,how to turn off find my iphone,49500,4,1.9,2
247.4,how-to-block,how to turn off find my iphone from iphone,49500,4,1.9,1
247.3,bible-verses,quote about bible verses,60500,14,6.84,3
247.3,bible-verses,quotes on bible verses,60500,14,6.84,1
246.1,prayers,time for maghrib prayer,49500,12,8.57,2
243.7,audiences,homeschool-curriculum,74000,15,6.97,22
243.5,bible-verses,bible quotes about encouragement,110000,6,2.34,1
243.2,blocker-tools,how to block website iphone,27100,2,2.16,17
242.8,bible-verses,verses about strength from god,90500,5,1.82,1
241.6,how-to-block,how to delete a page word,49500,1,0.08,7
241.6,how-to-block,how to delete any page in word,49500,1,0.08,1
239.6,catholic,lent holiday,135000,24,10.69,4
239.5,bible-verses,bible verses for lovers,165000,7,2.35,1
239.3,blocker-tools,how to block website from iphone,27100,3,2.16,2
239.2,how-to-block,how to turn off iphone find my phone,49500,6,1.9,3
238.8,audiences,easy peasy all one homeschool,33100,8,15.11,5
233.8,how-to-block,how to delete instagram account,201000,9,0.22,6
233.8,how-to-block,how to delete an account from instagram,201000,9,0.22,1
233.4,how-to-other,how to remove block person in facebook,90500,3,0.01,1
233.3,bible-verses,bible quotes about healing,49500,1,1.57,1
232.3,bible-verses,bible scriptures for encouragement,49500,3,2.31,1
232.3,bible-verses,biblical scriptures for encouragement,49500,3,2.31,1
231.2,prayers,time for prayer,246000,17,6.52,13
231.2,prayers,timing for prayer,246000,17,6.52,3
231.1,how-to-block,how to turn off find my iphone on computer,49500,8,1.9,1
231.1,how-to-block,how to turn off find my iphone from computer,49500,8,1.9,1
227.3,how-to-block,how to delete applications on iphone,33100,1,3.7,1
227.1,how-to-block,how to quit planet fitness membership,90500,15,2.23,1
227.0,prayers,divine chaplet,135000,6,0.56,2
226.4,bible-verses,bible verses about a friend,49500,1,0.82,1
226.4,other,verses in the bible about friends,49500,1,0.82,1
225.7,how-to-block,how to delete ig account,201000,11,0.22,2
224.9,how-to-other,how to find my iphone turn off,49500,4,1.9,5
224.5,how-to-other,how to force quit a mac,60500,6,0.29,16
